id,name,slug
575,Duy Xuyên,duy-xuyen
576,Đại Lộc,dai-loc
577,Điện Bàn,dien-ban
578,Đông Giang,dong-giang
579,Hiệp Đức,hiep-duc
580,Hội An,hoi-an
581,Nam Giang,nam-giang
582,Nam Trà My,nam-tra-my
583,Nông Sơn,nong-son
584,Núi Thành,nui-thanh
585,Phú Ninh,phu-ninh
586,Phước Sơn,phuoc-son
587,Quế Sơn,que-son
588,Tam Kỳ,tam-ky
589,Tây Giang,tay-giang
590,Thăng Bình,thang-binh
591,Tiên Phước,tien-phuoc
592,Ba Tơ,ba-to
593,Bình Sơn,binh-son
594,Đức Phổ,duc-pho
595,Lý Sơn,ly-son
596,Minh Long,minh-long
597,Mộ Đức,mo-duc
598,Nghĩa Hành,nghia-hanh
599,Quảng Ngãi,quang-ngai
600,Sơn Hà,son-ha
601,Sơn Tây,son-tay
602,Sơn Tịnh,son-tinh
603,Tây Trà,tay-tra
604,Trà Bồng,tra-bong
605,Tư Nghĩa,tu-nghia
606,Ba Chẽ,ba-che
607,Bình Liêu,binh-lieu
608,Cẩm Phả,cam-pha
609,Cô Tô,co-to
610,Đầm Hà,dam-ha
611,Đông Triều,dong-trieu
612,Hạ Long,ha-long
613,Hải Hà,hai-ha
614,Hoành Bồ,hoanh-bo
615,Móng Cái,mong-cai
616,Quảng Yên,quang-yen
617,Tiên Yên,tien-yen
618,Uông Bí,uong-bi
619,Vân Đồn,van-don
620,Cam Lộ,cam-lo
621,Cồn Cỏ,con-co
622,Đa Krông,da-krong
623,Đông Hà,dong-ha
624,Gio Linh,gio-linh
625,Hải Lăng,hai-lang
626,Hướng Hoá,huong-hoa
627,Quảng Trị,quang-tri
628,Triệu Phong,trieu-phong
629,Vĩnh Linh,vinh-linh
630,Châu Thành,chau-thanh
631,Cù Lao Dung,cu-lao-dung
632,Kế Sách,ke-sach
633,Long Phú,long-phu
634,Mỹ Tú,my-tu
635,Mỹ Xuyên,my-xuyen
636,Ngã Năm,nga-nam
637,Sóc Trăng,soc-trang
638,Thạnh Trị,thanh-tri
639,Trần Đề,tran-de
640,Vĩnh Châu,vinh-chau
641,Bắc Yên,bac-yen
642,Mai Sơn,mai-son
643,Mộc Châu,moc-chau
644,Mường La,muong-la
645,Phù Yên,phu-yen
646,Quỳnh Nhai,quynh-nhai
647,Sông Mã,song-ma
648,Sốp Cộp,sop-cop
649,Sơn La,son-la
650,Thuận Châu,thuan-chau
651,Yên Châu,yen-chau
652,Bến Cầu,ben-cau
653,Châu Thành,chau-thanh
654,Dương Minh Châu,duong-minh-chau
655,Gò Dầu,go-dau
656,Hòa Thành,hoa-thanh
657,Tân Biên,tan-bien
658,Tân Châu,tan-chau
659,Tây Ninh,tay-ninh
660,Trảng Bàng,trang-bang
661,Đông Hưng,dong-hung
662,Hưng Hà,hung-ha
663,Kiến Xương,kien-xuong
664,Quỳnh Phụ,quynh-phu
665,Thái Bình,thai-binh
666,Thái Thụy,thai-thuy
667,Tiền Hải,tien-hai
668,Vũ Thư,vu-thu
669,Đại Từ,dai-tu
670,Định Hóa,dinh-hoa
671,Đồng Hỷ,dong-hy
672,Phổ Yên,pho-yen
673,Phú Bình,phu-binh
674,Phú Lương,phu-luong
675,Sông Công,song-cong
676,Thái Nguyên,thai-nguyen
677,Võ Nhai,vo-nhai
678,Bá Thước,ba-thuoc
679,Bỉm Sơn,bim-son
680,Cẩm Thủy,cam-thuy
681,Đông Sơn,dong-son
682,Hà Trung,ha-trung
683,Hậu Lộc,hau-loc
684,Hoằng Hóa,hoang-hoa
685,Lang Chánh,lang-chanh
686,Mường Lát,muong-lat
687,Nga Sơn,nga-son
688,Ngọc Lặc,ngoc-lac
689,Như Thanh,nhu-thanh
690,Như Xuân,nhu-xuan
691,Nông Cống,nong-cong
692,Quan Hóa,quan-hoa
693,Quan Sơn,quan-son
694,Quảng Xương,quang-xuong
695,Sầm Sơn,sam-son
696,Thạch Thành,thach-thanh
697,Thanh Hóa,thanh-hoa
698,Thiệu Hóa,thieu-hoa
699,Thọ Xuân,tho-xuan
700,Thường Xuân,thuong-xuan
701,Tĩnh Gia,tinh-gia
702,Triệu Sơn,trieu-son
703,Vĩnh Lộc,vinh-loc
704,Yên Định,yen-dinh
705,Huế,hue
706,Hương Thủy,huong-thuy
707,Hương Trà,huong-tra
708,Nam Đông,nam-dong
709,A Lưới,a-luoi
710,Phong Điền,phong-dien
711,Phú Lộc,phu-loc
712,Phú Vang,phu-vang
713,Quảng Điền,quang-dien
714,Thị xã Cai Lậy,thi-xa-cai-lay
715,Cái Bè,cai-be
716,Châu Thành,chau-thanh
717,Chợ Gạo,cho-gao
718,Gò Công,go-cong
719,Gò Công Đông,go-cong-dong
720,Gò Công Tây,go-cong-tay
721,Mỹ Tho,my-tho
722,Tân Phú Đông,tan-phu-dong
723,Tân Phước,tan-phuoc
724,Càng Long,cang-long
725,Cầu Kè,cau-ke
726,Cầu Ngang,cau-ngang
727,Châu Thành,chau-thanh
728,Thị xã Duyên Hải,thi-xa-duyen-hai
729,Tiểu Cần,tieu-can
730,Trà Cú,tra-cu
731,Trà Vinh,tra-vinh
732,Chiêm Hóa,chiem-hoa
733,Hàm Yên,ham-yen
734,Lâm Bình,lam-binh
735,Na Hang,na-hang
736,Sơn Dương,son-duong
737,Tuyên Quang,tuyen-quang
738,Yên Sơn,yen-son
739,Bình Minh,binh-minh
740,Bình Tân,binh-tan
741,Long Hồ,long-ho
742,Mang Thít,mang-thit
743,Tam Bình,tam-binh
744,Trà Ôn,tra-on
745,Vĩnh Long,vinh-long
746,Vũng Liêm,vung-liem
747,Bình Xuyên,binh-xuyen
748,Lập Thạch,lap-thach
749,Phúc Yên,phuc-yen
750,Sông Lô,song-lo
751,Tam Dương,tam-duong
752,Tam Đảo,tam-dao
753,Vĩnh Tường,vinh-tuong
754,Vĩnh Yên,vinh-yen
755,Yên Lạc,yen-lac
756,Lục Yên,luc-yen
757,Mù Cang Chải,mu-cang-chai
758,Nghĩa Lộ,nghia-lo
759,Trạm Tấu,tram-tau
760,Trấn Yên,tran-yen
761,Văn Chấn,van-chan
762,Văn Yên,van-yen
763,Yên Bái,yen-bai
764,Yên Bình,yen-binh
765,Bến xe Miền Đông,ben-xe-mien-dong
766,Bến xe phía Nam Huế,ben-xe-phia-nam-hue
767,Bến xe trung tâm Đà Nẵng,ben-xe-trung-tam-da-nang
768,Bến xe Miền Tây,ben-xe-mien-tay
769,Bến xe Nha Trang,ben-xe-nha-trang
770,Bến xe liên tỉnh Đà Lạt,ben-xe-lien-tinh-da-lat
771,Bến xe Phía Nam Nha Trang,ben-xe-phia-nam-nha-trang
772,Bến Xe Phía Bắc Nha Trang,ben-xe-phia-bac-nha-trang
773,Bến Xe Vũng Tàu,ben-xe-vung-tau
774,Bến xe Bà Rịa,ben-xe-ba-ria
775,Bến xe thị xã Long Khánh,ben-xe-thi-xa-long-khanh
776,Bến xe Tây Ninh,ben-xe-tay-ninh
777,Bến xe Tân Phú,ben-xe-tan-phu
778,Bến xe Gò Công,ben-xe-go-cong
779,Bến xe 91B Cần Thơ,ben-xe-91b-can-tho
780,Bến xe Tánh Linh,ben-xe-tanh-linh
781,Cổng bến xe Hải Dương,cong-ben-xe-hai-duong
782,Bến xe Hùng Vương,ben-xe-hung-vuong
783,,
784,Bến xe liên tỉnh Đắk Lắk,ben-xe-lien-tinh-dak-lak
785,Bến xe Giáp Bát,ben-xe-giap-bat
786,Bến xe Mỹ Đình,ben-xe-my-dinh
787,Bến xe Hà Tĩnh,ben-xe-ha-tinh
788,BX Quảng Ngãi,bx-quang-ngai
789,Bến xe Bồng Sơn,ben-xe-bong-son
790,Bến Xe Đức Long Gia Lai,ben-xe-duc-long-gia-lai
791,Bến xe khách Sông Ray,ben-xe-khach-song-ray
792,Bến xe Vinh (cũ),ben-xe-vinh-cu
793,Bến xe Bến Tre,ben-xe-ben-tre
794,Bến xe khách Kiến Xương,ben-xe-khach-kien-xuong
795,Bến xe Phố Mới,ben-xe-pho-moi
796,Bến xe Tuyên Quang,ben-xe-tuyen-quang
797,Bến xe Sơn La,ben-xe-son-la
798,Bến xe khách Mường La,ben-xe-khach-muong-la
799,Bến xe liên tỉnh Bình Định,ben-xe-lien-tinh-binh-dinh
800,Bến xe liên tỉnh Tuy Hoà,ben-xe-lien-tinh-tuy-hoa
801,Bến xe Lai Châu,ben-xe-lai-chau
802,Bến xe Rạch Giá,ben-xe-rach-gia
803,Bến xe Nước Ngầm,ben-xe-nuoc-ngam
804,Bến xe Bù Gia Mập,ben-xe-bu-gia-map
805,Bến xe Hà Tiên,ben-xe-ha-tien
806,Bến xe Krông Pa,ben-xe-krong-pa
807,Bến xe Ayunpa,ben-xe-ayunpa
808,Thanh Phu bus station,thanh-phu-bus-station
809,Bến xe Buôn Hồ,ben-xe-buon-ho
810,Bến xe Tiên Yên,ben-xe-tien-yen
811,Bến xe Lương Yên,ben-xe-luong-yen
812,Bến xe Con Cuông,ben-xe-con-cuong
813,Bến xe Buôn Ma Thuột,ben-xe-buon-ma-thuot
814,Bến xe khách Bình Thuận,ben-xe-khach-binh-thuan
815,Bến xe Cà Mau,ben-xe-ca-mau
816,Bến xe Sóc Trăng,ben-xe-soc-trang
817,,
818,Bến xe An Sương,ben-xe-an-suong
819,Bến xe Liên Hương,ben-xe-lien-huong
820,Bến xe Long Xuyên,ben-xe-long-xuyen
821,Bến xe Cao Lãnh,ben-xe-cao-lanh
822,Bến xe Vĩnh Long,ben-xe-vinh-long
823,Bến xe phía bắc Buôn Ma Thuột,ben-xe-phia-bac-buon-ma-thuot
824,Bến xe Quy Nhơn,ben-xe-quy-nhon
825,BX Vạn Giã ,bx-van-gia
826,Bến xe Kim Sơn,ben-xe-kim-son
827,Bến xe Điện Biên,ben-xe-dien-bien
828,Bến xe Bạc Liêu,ben-xe-bac-lieu
829,Bến xe liên tỉnh Ninh Hòa,ben-xe-lien-tinh-ninh-hoa
830,VP Cam Ranh,vp-cam-ranh
831,Bến xe khách Bình Dương,ben-xe-khach-binh-duong
832,Bến xe Đạ Tẻh,ben-xe-da-teh
833,Bến xe Bình Châu,ben-xe-binh-chau
834,Bến xe khách huyện Xuyên Mộc,ben-xe-khach-huyen-xuyen-moc
835,Bến xe Yên Bái,ben-xe-yen-bai
836,Bến xe buýt Bến Cát,ben-xe-buyt-ben-cat
837,Bến xe Kon Tum,ben-xe-kon-tum
838,Bến xe Ngọc Hồi,ben-xe-ngoc-hoi
839,Bến xe Móng Cái,ben-xe-mong-cai
840,Bến xe Ba Hòn,ben-xe-ba-hon
841,Bến xe Ninh Bình,ben-xe-ninh-binh
842,Bến xe Ea H`leo,ben-xe-ea-h-leo
843,Bến xe Tri Tôn,ben-xe-tri-ton
844,Bến xe Ba Tri,ben-xe-ba-tri
845,Tân Thanh,tan-thanh
846,BX Sông Cầu,bx-song-cau
847,Bến xe Thành phố Cao Bằng,ben-xe-thanh-pho-cao-bang
848,Bến xe Phú Thọ,ben-xe-phu-tho
849,Bến xe khách Bảo Lộc,ben-xe-khach-bao-loc
850,Bến xe Long Hải,ben-xe-long-hai
851,Bến xe Ngã Tư Ga,ben-xe-nga-tu-ga
852,Bến xe phía bắc Thanh Hóa,ben-xe-phia-bac-thanh-hoa
853,Bến xe Hà Giang,ben-xe-ha-giang
854,Bến xe Lộc Ninh,ben-xe-loc-ninh
855,Xuân Sơn,xuan-son
856,Bến xe Đông Hà,ben-xe-dong-ha
857,Khu phố Tây,khu-pho-tay
858,Thành phố Vũng Tàu,thanh-pho-vung-tau
859,Chợ An Đông,cho-an-dong
860,Nha Trang,nha-trang
861,Bến xe Lạng Sơn,ben-xe-lang-son
862,Bến xe khách Bắc Giang,ben-xe-khach-bac-giang
863,Bến xe Phan Thiết,ben-xe-phan-thiet
864,Siêu thị Coop Mart trung tâm phường 1,sieu-thi-coop-mart-trung-tam-phuong-1
865,Nhà xe Trung Kiên,nha-xe-trung-kien
866,Bến xe Đồng Nai,ben-xe-dong-nai
867,"Đại Lộc, Quảng Nam",dai-loc-quang-nam
868,TP HCM,tp-hcm
869,Bến xe Thái Bình,ben-xe-thai-binh
870,Cát Tiên,cat-tien
871,Bến xe Giao Thủy,ben-xe-giao-thuy
872,Ngã ba Vũng Tàu,nga-ba-vung-tau
873,Bến xe Trà Men,ben-xe-tra-men
874,Mộc Châu,moc-chau
875,Suối Nghệ,suoi-nghe
876,Bến xe Cần Thơ,ben-xe-can-tho
877,Bến xe Niệm Nghĩa,ben-xe-niem-nghia
878,Tp. Thái Nguyên,tp-thai-nguyen
879,BX Phú Lộc,bx-phu-loc
880,Mỹ Quới,my-quoi
881,Bến xe An Phú,ben-xe-an-phu
882,Thái Thụy,thai-thuy
883,Bến xe Cửa Ông,ben-xe-cua-ong
884,Gành Hào,ganh-hao
885,Bến xe mới Châu Đốc,ben-xe-moi-chau-doc
886,Bến xe Bắc Ruộng,ben-xe-bac-ruong
887,Bến xe Ô Môn,ben-xe-o-mon
888,Thốt Nốt,thot-not
889,Phù Cát,phu-cat
890,Ngã 4 Vũng Tàu,nga-4-vung-tau
891,Bến xe Tây Sơn,ben-xe-tay-son
892,Bến xe Đức Linh,ben-xe-duc-linh
893,Phú Yên (dọc QL1A),phu-yen-doc-ql1a
894,Trà Vinh,tra-vinh
895,Bến xe Rạng Đông,ben-xe-rang-dong
896,Bến xe Đại Lộc,ben-xe-dai-loc
897,,
898,Bến xe Ba Đồn,ben-xe-ba-don
899,,
900,Bến xe Chư Sê,ben-xe-chu-se
901,Cổng bến xe Mai Châu,cong-ben-xe-mai-chau
902,VP Nam Phước,vp-nam-phuoc
903,Bắc Ngầm,bac-ngam
904,TP Hội An,tp-hoi-an
905,Hà Nội,ha-noi
906,Sa Đéc (dọc QL80),sa-dec-doc-ql80
907,Vị Thanh,vi-thanh
908,Bến xe Tam Bạc,ben-xe-tam-bac
909,Quảng Ngãi (dọc QL1A),quang-ngai-doc-ql1a
910,Bến xe Đồng Quang,ben-xe-dong-quang
911,Đồng Văn (Hà Giang),dong-van-ha-giang
912,Bãi Cháy,bai-chay
913,Cẩm Phả,cam-pha
914,50 Mai Thúc Loan. Tx Cửa Lò,50-mai-thuc-loan-tx-cua-lo
915,Vĩnh Yên,vinh-yen
916,Việt Trì,viet-tri
917,Cát Lem - Đoan Hùng,cat-lem-doan-hung
918,Yên Bái 9,yen-bai-9
919,Yên Bái 30,yen-bai-30
920,Khánh Hòa ( Lào Cai ),khanh-hoa-lao-cai
921,Bảo Yên (Lào Cai),bao-yen-lao-cai
922,Phú Xuyên,phu-xuyen
923,Chợ Phủ Lý ,cho-phu-ly
924,Nam Định,nam-dinh
925,Đồng Văn (Hà Nam),dong-van-ha-nam
926,Bến xe sapa,ben-xe-sapa
927,Tòng Đậu,tong-dau
928,Bến xe Triều Dương,ben-xe-trieu-duong
929,Bến xe Hưng Yên,ben-xe-hung-yen
930,Bến xe Gia Lâm,ben-xe-gia-lam
931,Phương Lâm,phuong-lam
932,Bồng Sơn,bong-son
933,Bến xe Thoại Sơn,ben-xe-thoai-son
934,Bến xe Biên Hòa,ben-xe-bien-hoa
935,Bến xe Eakar,ben-xe-eakar
936,Bến xe Khách M'Drắk,ben-xe-khach-m-drak
937,Lộc Phát,loc-phat
938,Q.Tân Bình,q-tan-binh
939,Bến xe Gia Nghĩa,ben-xe-gia-nghia
940,Bến xe Kiến Đức,ben-xe-kien-duc
941,Cổng bến xe Phú Lâm ,cong-ben-xe-phu-lam
942,Siêu thị Big C,sieu-thi-big-c
943,T.T Kà Tum,t-t-ka-tum
944,Tân Uyên (Bình Dương),tan-uyen-binh-duong
945,Ngã ba Chương Hòa,nga-ba-chuong-hoa
946,Bến xe Mũi Né,ben-xe-mui-ne
947,Bến xe Tân Hà,ben-xe-tan-ha
948,Chợ Tân Bình,cho-tan-binh
949,Bến xe Trung tâm Thái Nguyên,ben-xe-trung-tam-thai-nguyen
950,Bến xe Cầu Rào,ben-xe-cau-rao
951,Bến xe Tân Châu,ben-xe-tan-chau
952,Krông Năng,krong-nang
953,Cư Kuin,cu-kuin
954,Bến xe Đắk Mil,ben-xe-dak-mil
955,Quảng Trường Ga,quang-truong-ga
956,Ngọc Hồi,ngoc-hoi
957,PleiMe,pleime
958,Bến xe Đắk Đoa,ben-xe-dak-doa
959,Bến xe thị xã An Khê,ben-xe-thi-xa-an-khe
960,,
961,Sa Thầy,sa-thay
962,Bến xe Đắk Hà,ben-xe-dak-ha
963,Bến xe Bờ Sông,ben-xe-bo-song
964,Bến xe khách huyện Chợ Mới,ben-xe-khach-huyen-cho-moi
965,Bến xe Tam Hiệp,ben-xe-tam-hiep
966,Bến xe Yên Nghĩa,ben-xe-yen-nghia
967,Bến xe Phước Long,ben-xe-phuoc-long
968,Bến Xe Khách Đà Nẵng,ben-xe-khach-da-nang
969,Bến xe Trị An,ben-xe-tri-an
970,Bến xe Rạch Sỏi,ben-xe-rach-soi
971,Bến xe Chợ Lớn,ben-xe-cho-lon
972,Bến xe Quang Vinh,ben-xe-quang-vinh
973,Bến xe Chợ Lách,ben-xe-cho-lach
974,Bến xe Tiền Hải,ben-xe-tien-hai
975,BXLT Phú Yên,bxlt-phu-yen
976,,
977,Bến xe Đức Trọng,ben-xe-duc-trong
978,Bến xe khách Phù Mỹ,ben-xe-khach-phu-my
979,Bến xe Ka Đô,ben-xe-ka-do
980,Bến xe Vị Thanh,ben-xe-vi-thanh
981,Bến xe Krông Bông,ben-xe-krong-bong
982,Bến xe Huệ Thanh,ben-xe-hue-thanh
983,Bến xe Cù Bị,ben-xe-cu-bi
984,Bến xe tàu Cần Thơ,ben-xe-tau-can-tho
985,,
986,Bến xe khách Đò Quan,ben-xe-khach-do-quan
987,Bến xe khách Cẩm Hải,ben-xe-khach-cam-hai
988,Bến xe khách Sơn Hải,ben-xe-khach-son-hai
989,Bến xe khách phía nam Đà Nẵng,ben-xe-khach-phia-nam-da-nang
990,Bến xe huyện Long Điền,ben-xe-huyen-long-dien
991,Bến xe khách Khánh Hưng,ben-xe-khach-khanh-hung
992,Bến xe khách Tân Trụ,ben-xe-khach-tan-tru
993,Bến xe khách Hậu Thạnh,ben-xe-khach-hau-thanh
994,Bến xe Bàu Bàng,ben-xe-bau-bang
995,Bến xe Nam Định,ben-xe-nam-dinh
996,Bến xe khách Vĩnh Thuận,ben-xe-khach-vinh-thuan
997,Bến xe khách Nước Mát,ben-xe-khach-nuoc-mat
998,Bến xe khách Lục Yên,ben-xe-khach-luc-yen
999,Bến xe khách Mậu A,ben-xe-khach-mau-a
